school_term,title,college,level,crn,department
201620,Military Skills,College of Liberal Arts,2204,21190,Military Science
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6191,20162,Materials Science & Engr.
201620,Graduate Research in Chemistry,College of Science,5396,20188,Chemistry
201620,Public Speaking (C),College of Liberal Arts,1301,21227,Communication
201620,Thesis,College of Liberal Arts,5398,20213,Sociology
201620,Graduate Research,College of Engineering,5394,20662,Computer Science
201620,Thesis,College of Science,5398,20691,Chemistry
201620,Sp Ed Svc/Stud/Gen/Sped Ed Set,College of Education,3310,21304,Special Education
201620,Individual Studies,College of Engineering,6391,21858,Computer Science
201620,Individual Studies,College of Engineering,6391,21865,Computer Science
201620,Independent Research,College of Liberal Arts,5393,20753,History
201620,Ballet VIII,College of Liberal Arts,4342,21915,Dance
201620,Special Problems,College of Science,4398,20324,Biology
201620,Graduate Research,College of Engineering,5394,20792,Computer Science
201620,Dissertation,Engineer.Sci/Interdisciplinary,6398,20803,Environmental Science & Engr.
201620,Dissertation,Engineer.Sci/Interdisciplinary,6398,20806,Environmental Science & Engr.
201620,Exercise Physiology,College of Health Sciences,4312,21380,Kinesiology
201620,Music History Survey II,College of Liberal Arts,3322,21928,Music Literature & History
201620,Dissertation,Engineer.Sci/Interdisciplinary,6399,20823,Environmental Science & Engr.
201620,Directed Study, Env. Sci.,College of Science,4266,21414,Environmental Science
201620,General Chemistry,College of Science,1305,21452,Chemistry
201620,Graduate Research,College of Engineering,5594,25066,Biomedical Engineering
201620,Intro to Global Business,College of Business Admin.,1301,25593,Business
201620,Pediatric Chronic Hlth Practm,School of Nursing,5358,26261,Nursing
201620,Thesis,College of Education,5399,25123,Teacher Education
201620,Undergraduate Research,Office of Academic Affairs,4033,26220,Research Course
201620,Television Scriptwriting,College of Liberal Arts,3345,24558,Communication
201620,Matrix Algebra,College of Science,3323,24594,Mathematics
201620,Engineering Problems,College of Engineering,4171,25222,Electrical & Computer Eng.
201620,History of Higher Education,College of Education,5391,25731,Educational Administration
201620,Ethnographic Methods,College of Liberal Arts,3358,24632,Sociology
201620,Exercise Physiology,College of Health Sciences,4312,24646,Kinesiology
201620,Intro to Creative Writing,College of Liberal Arts,3362,25785,Creative Writing
201620,Introduction to Analysis,College of Science,3341,25797,Mathematics
201620,Curr Topics In Bilingual/ESL,College of Education,5330,25798,Bilingual Education
201620,Social Studies Ed in Elem Sch,College of Education,4309,25804,Elementary Education
201620,Principles of Bilingual/ESL Ed,College of Education,4340,24697,Bilingual Education
201620,Graduate Research,College of Engineering,6394,24714,Electrical & Computer Eng.
201620,Printmaking I,College of Liberal Arts,2305,24729,Printmaking
201620,Rhetoric & Composition I,College of Liberal Arts,1301,25260,Rhetoric and Writing Studies
201620,Rhetoric & Composition 2,College of Liberal Arts,1302,25286,Rhetoric and Writing Studies
201620,Graduate Projects,College of Engineering,5397,24744,Electrical & Computer Eng.
201620,Dissertation,College of Engineering,6399,24748,Electrical & Computer Eng.
201620,Rhetoric & Composition 2,College of Liberal Arts,1302,25297,Rhetoric and Writing Studies
201620,Organismal Biology Laboratory,College of Science,1108,25873,Biology
201620,Master's Thesis,College of Engineering,5398,24797,Computer Science
201620,Student Teaching-Middle Lvl Ed,College of Education,4691,25962,Middle School Education
201620,Dissertation,College of Engineering,6399,24849,Computer Science
201620,Laboratory for CHEM 1305,College of Science,1105,25404,Chemistry
201620,Southwestern Archeology,College of Liberal Arts,3310,25431,Anthropology
201620,Dissertation,College of Education,6399,24989,Teacher Education
201620,Ancient Philosophy,College of Liberal Arts,3314,25520,Philosophy
201620,First Year Research,College of Liberal Arts,6380,24417,Psychology
201620,Indig Cultures of North Amer,College of Liberal Arts,3320,25535,Sociology
201620,Undergraduate Research,Office of Academic Affairs,4033,26141,Research Course
201620,Thesis I,College of Health Sciences,5398,27656,Public Health
201620,Adv Topics in Geological Scien,College of Science,6315,27886,Geology
201620,Principles of Earth Sci - Lab,College of Science,1111,28830,Geology
201620,Independent Study,College of Liberal Arts,3379,27939,Anthropology
201620,Engineering Leadership III,College of Engineering,3304,28283,Engineering Leadership
201620,Low Temperature Geochemistry,College of Science,5376,27875,Geology
201620,Introductory Mechanics,College of Science,2420,28130,Physics
201620,Spanish Two,College of Liberal Arts,1302,28021,Spanish
201620,Dissertation,College of Liberal Arts,6398,28427,Psychology
201620,First Year Research,College of Liberal Arts,6380,28430,Psychology
201620,Studies in Latin American Hist,College of Liberal Arts,5309,27409,History
201620,Pediatric Chronic Healthcare,School of Nursing,5658,28380,Nursing
201620,Doctoral Research,Graduate Studies,6394,24233,Graduate Studies
201620,Ceramics I,College of Liberal Arts,2304,22506,Ceramics
201620,Graduate Research in Chemistry,College of Science,6196,24255,Chemistry
201620,Dissertation II,College of Business Admin.,6399,23144,International Business
201620,Thesis,College of Liberal Arts,5396,24375,Psychology
201620,Graduate Recital I,College of Liberal Arts,5388,22599,Music General Courses
201620,Chicano Cinema,College of Liberal Arts,3302,22632,Film
201620,Adv. Topics in Civil Engr.,College of Engineering,4375,24313,Civil Engineering
201620,General Chemistry (C),College of Science,1306,23261,Chemistry
201620,Proportion and Algebra,College of Science,3305,22240,Mathematics
201620,From Faith to Reason,College of Liberal Arts,3302,22756,Humanities
201620,Seminar/Critical Inquiry (C),Office of Academic Affairs,1301,23337,University
201620,Engineering Problems,College of Engineering,4171,22788,Metallurgical & Materials Eng.
201620,Topics in Study of Life I,College of Science,1107,23372,Biology
201620,Dissertation,College of Science,6399,22331,Chemistry
201620,Directed Study, Geology,College of Science,4166,22855,Geology
201620,Pedagogy of Instrumental Music,College of Liberal Arts,5397,22415,Music Education
201620,Selling and Sales Management,College of Business Admin.,4305,23471,Marketing
201620,Thermo-Fluids Lab,College of Engineering,3313,23508,Mechanical Engineering
201620,Fundamentals of Criminal Law,College of Liberal Arts,1310,22426,Criminal Justice
201620,Data Base Management,College of Engineering,4342,22450,Computer Science
201620,Doctoral Research,Engineer.Sci/Interdisciplinary,6396,22958,Environmental Science & Engr.
201620,Environmental Sci. Lab (C),College of Science,1101,24086,Environmental Science
201620,Thesis,College of Engineering,5399,23601,Mechanical Engineering
201620,Intensive Language Study,College of Liberal Arts,2304,23098,Linguistics
201620,Independent Study,College of Health Sciences,6385,27072,College of Health Sciences
201620,Dissertation,College of Engineering,6399,27791,Civil Engineering
201620,Dissertation,College of Engineering,6399,27792,Civil Engineering
201620,Directed Study in Geology,College of Science,6105,27317,Geology
201620,Directed Study in Geology,College of Science,6105,27325,Geology
201620,Thesis,College of Liberal Arts,5399,28345,Intel Nat'l Security Studies
201620,Undergrad Resrch Probs Physics,College of Science,4177,29119,Physics
201620,Graduate Research Projects,Engineer.Sci/Interdisciplinary,6294,29136,Materials Science & Engr.
201620,Integrated Reading & Writing,Office of Academic Affairs,0312,27564,English
201620,Digital Signal Processing,College of Engineering,4383,28164,Electrical & Computer Eng.
201620,Graduate Research,College of Engineering,5394,29102,Metallurgical & Materials Eng.
201620,Laboratory for CHEM 1305,College of Science,1105,26304,Chemistry
201620,Thesis,College of Engineering,5399,26334,Metallurgical & Materials Eng.
201620,Undergraduate Research,Office of Academic Affairs,4033,26889,Research Course
201620,Thesis,College of Business Admin.,5399,26343,Economics
201620,Undergraduate Research,Office of Academic Affairs,4033,26381,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26966,Research Course
201620,Individual Studies,College of Engineering,5191,26442,Electrical & Computer Eng.
201620,Undergraduate Research,Office of Academic Affairs,4033,27029,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26490,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26573,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26577,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26589,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26594,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26611,Research Course
201620,Undergraduate Research,Office of Academic Affairs,4033,26664,Research Course
201620,Directed Study, Geology,College of Science,4266,27259,Geology
201620,Individual Instruction,College of Liberal Arts,3295,28498,Music Applied
201620,Adult & Geriatric Practm,School of Nursing,5302,28476,Nursing
201620,Project or Internship,College of Engineering,5395,29105,Biomedical Engineering
201620,Individual Instruction,College of Liberal Arts,1195,21500,Music Applied
201620,Math for Social Sciences II,College of Science,2301,21522,Mathematics
201620,Extended Research Project,College of Liberal Arts,5397,20948,Linguistics
201620,Metals IV,College of Liberal Arts,3313,21555,Metals
201620,Spanish For Spanish Spkrs One,College of Liberal Arts,2303,21558,Spanish
201620,Curriculum Plan-Secondary Schl,College of Education,3311,21574,Secondary Education
201620,Intro. to Literary Studies,College of Liberal Arts,3300,21004,English
201620,Internship In Leadership I,College of Education,6350,20523,Educational Administration
201620,Independent Research,College of Liberal Arts,5393,20524,History
201620,Resrch Biological Science,College of Science,5302,21048,Biology
201620,Introduction to Theatre (C),College of Liberal Arts,1313,21617,Theatre
201620,Evolution,College of Science,3321,21621,Biology
201620,Master's Thesis,College of Engineering,5399,20031,Computer Science
201620,General Physics II (C),College of Science,1404,21078,Physics
201620,Thesis,College of Liberal Arts,5398,20051,History
201620,Thesis,College of Liberal Arts,5399,20060,History
201620,Thesis,College of Health Sciences,5398,20095,Kinesiology
201620,Graduate Projects,College of Engineering,5396,20575,Civil Engineering
201620,Research & Critical Writ (C),College of Liberal Arts,1312,21135,English
201620,Graduate Research Projects,Engineer.Sci/Interdisciplinary,6394,20619,Materials Science & Engr.
201620,Adv. Topics in Historiography,College of Liberal Arts,6300,20623,History
201620,Ballet II,College of Liberal Arts,1342,21219,Dance
201620,Thesis,College of Liberal Arts,5398,20682,Sociology
201620,Individual Instruction,College of Liberal Arts,3391,21272,Music Applied
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6391,20234,Materials Science & Engr.
201620,Appl Lessons for Perf Majors,College of Liberal Arts,5391,21889,Music Applied
201620,Independent Reading,College of Liberal Arts,5345,20759,History
201620,Individual Instruction,College of Liberal Arts,1290,21327,Music Applied
201620,Expos Engl Compos-Spkr Esl (C),College of Liberal Arts,1311,21341,English Speakers Other Lang.
201620,Expos Engl Compos-Spkr Esl (C),College of Liberal Arts,1311,21343,English Speakers Other Lang.
201620,Intro to Abnormal Psychology,College of Liberal Arts,2312,21916,Psychology
201620,Special Problems,College of Science,4398,20318,Biology
201620,Dissertation,Engineer.Sci/Interdisciplinary,6399,20818,Environmental Science & Engr.
201620,Dissertation,College of Engineering,6398,21425,Civil Engineering
201620,Co-op Work Experiences,College of Engineering,4181,20401,Electrical & Computer Eng.
201620,General Chemistry,College of Science,1305,21445,Chemistry
201620,Doctoral Research,College of Engineering,6394,25043,Biomedical Engineering
201620,Analytical Dynamics,College of Engineering,5318,25583,Mechanical Engineering
201620,Advanced Methods in Biology,College of Science,4195,26195,Biology
201620,Thesis,College of Science,5399,25634,Biology
201620,Pediatric Chronic Hlth Practm,School of Nursing,5358,26262,Nursing
201620,Nurse Provider of Care/Crisis,School of Nursing,4614,24523,Nursing
201620,Expos. English Composition (C),College of Liberal Arts,1311,25120,English
201620,Graduate Research,College of Engineering,6694,25135,Electrical & Computer Eng.
201620,Activity Course,College of Health Sciences,1101,25651,Physical Edu. Activity Courses
201620,Comp Methods of Linear Algebra,College of Science,5330,25666,Mathematics
201620,Dissertation,College of Science,6398,25693,Biology
201620,Selected Problems-Government,College of Liberal Arts,5380,24587,Political Science
201620,Undergrad Resrch Probs Physics,College of Science,4377,25213,Physics
201620,Beginning Karate,College of Health Sciences,1151,24629,Physical Edu. Activity Courses
201620,Clinical Rotations for Eng,College of Engineering,5192,25781,Biomedical Engineering
201620,Drugs of Abuse and Behavior,College of Liberal Arts,3346,24659,Psychology
201620,Envir. Just. & Min. Comm U.S.,College of Liberal Arts,4304,24668,Political Science
201620,Rhetoric & Composition I,College of Liberal Arts,1301,25266,Rhetoric and Writing Studies
201620,20th Century Europe, 1900-Pres,College of Liberal Arts,3369,25835,History
201620,Studies in Form,College of Liberal Arts,5382,24732,Creative Writing
201620,Thesis,College of Liberal Arts,5399,24736,Creative Writing
201620,Graduate Research,College of Engineering,6694,24749,Electrical & Computer Eng.
201620,Foundation Practicum II,College of Health Sciences,5336,25318,Social Work
201620,Dissertation,College of Engineering,6398,24832,Computer Science
201620,American Gover & Politics (C),College of Liberal Arts,2311,25362,Political Science
201620,Computer Science Problems,College of Engineering,4371,24858,Computer Science
201620,State and Local Administration,College of Liberal Arts,3353,25413,Political Science
201620,Intermediate Algebra,Office of Academic Affairs,0311,24891,Mathematics
201620,Dissertation,College of Health Sciences,6398,26033,College of Health Sciences
201620,Prog Eval in School Counseling,College of Education,5332,25487,Educ. Psych. & Counseling
201620,Undergraduate Research,Office of Academic Affairs,4033,26078,Research Course
201620,First Year Research,College of Liberal Arts,6381,24967,Psychology
201620,Thesis I,College of Liberal Arts,5398,24980,Philosophy
201620,Abnormal Human Behavior,College of Education,5345,25495,Educ. Psych. & Counseling
201620,Undergraduate Research,Office of Academic Affairs,4033,26111,Research Course
201620,Graduate Research,College of Engineering,5694,25032,Biomedical Engineering
201620,Individual Instruction,College of Liberal Arts,5281,27893,Music Applied
201620,Public History Internship,College of Liberal Arts,5390,28734,History
201620,Public History Internship,College of Liberal Arts,5390,28913,History
201620,Thesis,College of Science,5399,29036,Mathematics
201620,Business Communications (UTPB),UT Permian Basin,3311,28992,Management (UTPB)
201620,Non-Thesis Project I,College of Liberal Arts,5396,27993,Sociology
201620,Promoting Health Along Border,School of Nursing,4611,27661,Nursing
201620,Interm Spanish One Non-Nat Spk,College of Liberal Arts,2301,28024,Spanish
201620,Dissertation,College of Health Sciences,6399,27154,College of Health Sciences
201620,Arts for Elementary Teacher,College of Education,3209,28173,Early Childhood Education
201620,Special Undergraduate Topics,College of Liberal Arts,3341,28077,Sociology
201620,Activity Course,College of Health Sciences,1101,28237,Physical Edu. Activity Courses
201620,Research Applications,College of Liberal Arts,5385,28433,Psychology
201620,Graduate Research in Geol Sci,College of Science,5389,27299,Geology
201620,Nursing Care of the Individual,School of Nursing,3604,27639,Nursing
201620,Dissertation,Engineer.Sci/Interdisciplinary,6399,24214,Environmental Science & Engr.
201620,Individual Studies,Engineer.Sci/Interdisciplinary,6191,24219,Materials Science & Engr.
201620,Graduate Research Projects,Engineer.Sci/Interdisciplinary,6194,24222,Materials Science & Engr.
201620,Doctoral Research,Graduate Studies,6394,24283,Graduate Studies
201620,Graduate Research in Chemistry,College of Science,6196,22636,Chemistry
201620,Graduate Research in Chemistry,College of Science,6196,23740,Chemistry
201620,Thesis,College of Science,5398,22677,Biology
201620,Thesis,College of Science,5398,22678,Biology
201620,Indep Study: Internat'l Bus,College of Business Admin.,6389,23235,International Business
201620,Thesis,College of Science,5398,23766,Biology
201620,Dissertation Preparation,College of Liberal Arts,6301,22221,History
201620,Independent Research,College of Science,6290,23833,Biology
201620,Research & Critical Writ (C),College of Liberal Arts,1312,23348,English
201620,Dissertation,College of Science,6399,22334,Chemistry
